,id,date,tweet,hashtags,username,place,geo,timezone
0,1353492222344392707,2021-01-25 07:57:47,idk bothering alcohol inflation time high rn,[],MphoKgosidialwa,,,800
1,1353492195827965952,2021-01-25 07:57:40,inflation much money means prices rise eventually gas gallon,[],AllenWi92526840,,,800
2,1353492090311720960,2021-01-25 07:57:15,exerts daily fix talk inflation roll deafening exuberance equity markets sins consensus camp see signs real yields rise amp fed tolerate steeper curve point usd fomc trading,"['fomc', 'trading']",ChrisWeston_PS,,,800
3,1353492059370479617,2021-01-25 07:57:08,regards michellins explains recent price rises inflation aye,[],morejunkfromu,,,800
4,1353492005008113665,2021-01-25 07:56:55,oh mike since clearly unaware inflation levels cheat sheet,[],apecapital,,,800
5,1353491958057021451,2021-01-25 07:56:44,inflation trudeau care finances priorities feminists genders gay rights abortion progressive leftist political correctness woke climate diversity refugees migrants debt deficit radar,[],soc_justice1,,,800
6,1353491914952204288,2021-01-25 07:56:33,reserves mean anything inflation,[],Freddiesgato,,,800
7,1353491713290088449,2021-01-25 07:55:45,macri tried volker thing embrace full dollarization despite borrowing enough usd peronists world mmt ers lowered rates assertion true argentina inflation fall cut rates,[],duganist,,,800
8,1353491701105651712,2021-01-25 07:55:42,people low skills welfare food stamps raising minimum every state every state need cost living either cause inflation well,[],LeutyRuby,,,800
9,1353491667521826818,2021-01-25 07:55:34,oh yeah buying eth hedge inflation bitcoin oh yeah eth hedge btc uselessness,[],RNR_0,,,800
10,1353491454405062657,2021-01-25 07:54:44,hey answer question minimum wage inflation much kept promise easy answer,[],Ghobsmacka,,,800
11,1353491410629103618,2021-01-25 07:54:33,true taxes govt waste cause inflation everything cost produce,[],hcagc17,,,800
12,1353491096190513152,2021-01-25 07:53:18,fucking boomers updated talking points decade municating impossible hur dur solar power petitive inflation luxury apartments cause gentrification,[],AntinomeWLP,,,800
13,1353491090419167232,2021-01-25 07:53:17,nein nicht der preis inflation die frage ist falsch es werden ohnehin jede menge nutzlosen kryptow hrungen geschaffen code base opensource bessere frage wird eine neue kryptow hrung vergleichbar bedeutend daf  muss beides stimmen technologie und das soziale ,[],EthernianD,,,800
14,1353490888568303617,2021-01-25 07:52:29,like inflation quote sure everything fine,[],iTunerd,,,800
15,1364726749133643776,2021-02-25 07:59:47,lmao us senator pretending inflation means parison today,[],ForestCemetery,,,800
16,1364726726157348872,2021-02-25 07:59:41,joking matter millions people know minimum wage risen years keep pace inflation far get per hour free lunch profit margins control,[],moinqueens,,,800
17,1364726593042677762,2021-02-25 07:59:09,lumber price gone america since april average new home cost build increase fed chair powell said yesterday see inflation tho lol lumber copper aluminum groceries beginning,[],Chrisraman6,,,800
18,1364726591587291136,2021-02-25 07:59:09,always good sign congresspeople know pretend know inflation,[],von_todwin,,,800
19,1364726552643035140,2021-02-25 07:59:00,breaking govt plan exams teachers assess grades based mix coursework mocks questions exam boards checks moderation algorithms results   th aug anyone appeal major risk grade inflation pressure teachers mass appeals,[],PaulBrandITV,,,800
20,1364726465112244230,2021-02-25 07:58:39,inflation,[],Cpo10za,,,800
21,1364726314603700224,2021-02-25 07:58:03,oh please assholes know minimum wage kept inflation find odd cook making couple bucks hour years later,[],Johnmatrix76,,,800
22,1364726217589415942,2021-02-25 07:57:40,goes inflation calculator anything taking less weeks take months,[],BHIndepMO,,,800
23,1364726197226250242,2021-02-25 07:57:35,idiot john thune never heard inflation,[],Daedalus6,,,800
24,1364726171573886977,2021-02-25 07:57:29,investors modities making collective wager government stimulus plus near zero interest rates fuel demand generate inflation amp weaken  dollar economy rebounds pandemic,[],DTradingAcademy,,,800
25,1364726158294741004,2021-02-25 07:57:26,runaway inflation yet,[],AAugust1970,,,800
26,1364726134814965761,2021-02-25 07:57:20,siri inflation,[],tresdessert,,,800
27,1364726133351186432,2021-02-25 07:57:20,republicans heard inflation livable wage party claims business market seem understand much economics,[],TwoBroadsTalk,,,800
28,1364726121569411072,2021-02-25 07:57:17,disingenuous pablum say issue sure aware something called inflation matter base wants hear,[],Chiaguava1,,,800
29,1364726114187370496,2021-02-25 07:57:15,wall termine en hausse alors que powell fed rassure sur  inflation,[],JolicoeurNews,,,800
30,1364726042829676544,2021-02-25 07:56:58,imagine elected senate seat understanding inflation,[],tek_sauce,,,800
31,1364725950173249536,2021-02-25 07:56:36,wages kept inflation,[],pdogassassin,,,800
32,1364725870028546052,2021-02-25 07:56:17,bets high grade inflation goes criticism teachers incentives pupils honest holdouts going disadvantaged,[],trotter_alex,,,800
33,1364725840408424451,2021-02-25 07:56:10,let think thissenjohnthune tweet born hr salary adjusted inflation fightfor minimumwage,"['fightfor15', 'minimumwage']",aaronklemz,,,800
34,1364725732727922695,2021-02-25 07:55:44,okay instead set adjusted inflation,[],uspsveteran,,,800
35,1396979305083809795,2021-05-25 07:59:55,joe thirty five biden inflation plan taxes inflation enough pay obamacare netflix,"['obamacare', 'netflix']",DAVETANGO9,,,800
36,1396979236477407233,2021-05-25 07:59:39,furthermore inflation almost certainly higher next years last years see look money supply velocity analysis look key macro factors,[],hlshaken,,,800
37,1396979146723635200,2021-05-25 07:59:17,lmao keep telling inflation without actually acknowledging origins inflation,[],JCMTyellek,,,800
38,1396978991488114692,2021-05-25 07:58:40,go buy gas lumber beef inflation statistics garbage look prices normal stuff people use daily,[],FreeReignS,,,800
39,1396978850186334213,2021-05-25 07:58:07,think sort pre hyperinflation inflation calm explode years,[],rightwingnutrs,,,800
40,1396978797480538113,2021-05-25 07:57:54,inflation adjusting returns  rd median family  rd median family   start journey  end nearly enough,[],hlshaken,,,800
41,1396978777289228290,2021-05-25 07:57:49,consumer confidence rises anz anzbank australia australian bank covid future impact inflation market melbourne outbreak unemployment,"['anz', 'anzbank', 'australia', 'australian', 'bank', 'covid19', 'future', 'impact', 'inflation', 'market', 'melbourne', 'outbreak', 'unemployment']",MirageNewsCom,,,800
42,1396978712080494596,2021-05-25 07:57:34,wonder adjusted inflation eddie murphy beats bhc shrek movies made lot raw dollars time granted many mcu movies downey appeared forgot cast around time back school,[],EugeneFreedman,,,800
43,1396978634687188993,2021-05-25 07:57:15,inflation,[],rl88402591,,,800
44,1396978590391144450,2021-05-25 07:57:05,ment clearly demonstrates ignorance topic read white paper understand requirements monetary instrument used currency know deterministic static inflation looks like hater,[],b4RTrades,,,800
45,1396978573597188105,2021-05-25 07:57:01,retirees worried inflation may want consider adding investment portfolio bankingandfinancenews covid online banking bank business services finance home money loan lease lending markets please retweet,"['bankingandfinancenews', 'covid19', 'online', 'banking', 'bank', 'business', 'services', 'finance', 'home', 'money', 'loan', 'lease', 'lending', 'markets']",AJBlackston,,,800
46,1396978499190149120,2021-05-25 07:56:43,knew elon one stand way stock market inflation inevitable see next bull run starting doge get,[],Ramiammoun,,,800
47,1396978462263582720,2021-05-25 07:56:34,uphold chairman powell thought serve people inflation paper tiger fulfill dual mandate,[],profmusgrave,,,800
48,1396978398249971717,2021-05-25 07:56:19,still pay subject insane rates inflation americans good example bag fluids saline iv er visit easily run americans bill cost hospital dollar obtain,[],josinchuk_wx,,,800
49,1396978342000160769,2021-05-25 07:56:05,tech update billionaire investor ray dalio says rather bitcoin bonds inflation surges reveals bought cryptocurrency let discuss digitaltransformation digitalstrategy digitalworkplace,"['digitaltransformation', 'digitalstrategy', 'digitalworkplace']",gadgetmanjay,,,800
50,1396978321225883649,2021-05-25 07:56:01,never self evaluate tip sex harsh environment tough times training soon get road let alone loss ageing time flying personal failures poverty loneliness traffic inflation,[],drkimble123,,,800
51,1396978301533671424,2021-05-25 07:55:56,reason better investment usd rn people want  per year supply drive price inflation caused  supply doge  global currency population growth alone make deflationary,[],SashSoulsmith,,,800
52,1396978276342505477,2021-05-25 07:55:50,half produced consumed real quantities industries supported caught guard quick ramp demand   supply kinda like toilet paper beginning pandemic inflation happening,[],1smith4theroad,,,800
53,1396978126446604288,2021-05-25 07:55:14,episode lumber housing cars one thing mon rising prices today bring episode inflation,[],kate_linebaugh,,,800
54,1396977920824905729,2021-05-25 07:54:25,israel palestinian conflict inflation southern border belarus forcing jet oh nice gatorade,[],StylerRob,,,800
55,1396977899098546177,2021-05-25 07:54:20,comment la  nurie mondiale de puces et les difficult approvisionnement entra nent une inflation des prix zdnet tech techno,"['tech', 'techno']",ChefPhileas,,,800
56,1396977792840052742,2021-05-25 07:53:55,michael burry shocking position revealed hyper inflation prep,[],ZBankEnt,,,800
57,1396977778747068416,2021-05-25 07:53:51,inflation protected,[],realchrisfarhat,,,800
58,1396977574354554886,2021-05-25 07:53:02,many investors tips accessible professionally managed less volatile way add level inflation protection unlike bitcoin,[],chriskeithBONDS,,,800
59,1396977572047687681,2021-05-25 07:53:02,looking tips reason auction weak investors starting think twice need expensive inflation protection,[],chriskeithBONDS,,,800
60,1396977561670934528,2021-05-25 07:52:59,transitory bond yields match cpi level like historically inflation due supply chain issues true rising costs,[],Profess0rP,,,800
61,1396977426152890373,2021-05-25 07:52:27,hey sans offense cat ears order sexy belly inflation crap,[],SephirothLovr58,,,800
62,1396977387741589504,2021-05-25 07:52:18,makes zimbabwe first country sadc co mesa disseminating inflation statistics within days data collection,[],tatemars,,,800
63,1396977358842826752,2021-05-25 07:52:11,literally seconds later tumbles weirdest fucking bimbofication inflation vore transformation fetish rabbit hole ever,[],elloitts,,,800
64,1396977263908835328,2021-05-25 07:51:48,sjw minimum wage laws increase inflation,[],onesnkelewis,,,800
65,1396977141363798019,2021-05-25 07:51:19,save invest steal savings inflation lol,[],paulbagginXrp,,,800
66,1396977126880989186,2021-05-25 07:51:16,another problem fed removing last excuse raise nominal interest rate target summers say means inflation goes roof say recipe undershooting inflation target big deal though,[],1954swilliamson,,,800
67,1396976847561265158,2021-05-25 07:50:09,us gnp grew pa next two decades us wages risen war driving tremendous aggregation purchasing power tremendous demand goods economists wrong america adapted inflation eased deja vu,[],mastersinvest,,,800
68,1396976841425096704,2021-05-25 07:50:08,economy week ahead housing consumer spending inflation,[],NewsRedwing,,,800
69,1452424662634336258,2021-10-25 07:59:58,know balloons expensive inflation dadjoke,['dadjoke'],ThreeLegPants,,,800
70,1452424659681611785,2021-10-25 07:59:58,inflation though,[],Bitcoin_phan,,,800
71,1452424622134026240,2021-10-25 07:59:49,panies bet shoppers keep paying higher prices economy money holiday inflation news,"['economy', 'money', 'holiday', 'inflation', 'news']",TopFeaturedcom,,,800
72,1452424606199992321,2021-10-25 07:59:45,nono trust politicians say inflation usual everything fine,[],eddiemedusa,,,800
73,1452424596410470402,2021-10-25 07:59:43,fun fact day inflation adjusted disneyland parking cost today instead almost increase cool stuff,[],aleacabri,,,800
74,1452424546498322433,2021-10-25 07:59:31,lol oh good inflation rising open borders high gas prices high unemployment hey worried gender sad,[],poloticalprof,,,800
75,1452424540840210443,2021-10-25 07:59:29,years current likely continuing inflation seeing right gold absolutely mooning,[],strobist,,,800
76,1452424500885299205,2021-10-25 07:59:20,way inflation going american money new cny,[],CoteEstOrleans,,,800
77,1452424450268295171,2021-10-25 07:59:08,treefiddy inflation dollartree,"['treefiddy', 'inflation', 'dollartree']",CiaraMeghan,,,800
78,1452424429363998723,2021-10-25 07:59:03,based frequency changed inflation rates december say kind,[],xwwpp,,,800
79,1452424410544148481,2021-10-25 07:58:58,look northern europe ideal choose transparent taxes opposed stealth taxes fund state inflation cruel tax exacted upon unsophisticated stop trying condition downtrodden spend little condition instead,[],MarketNewsBlltn,,,800
80,1452424395994054656,2021-10-25 07:58:55,even possible make cartoon good dialogue good messages clearly heart behind also slapstick shit like getting smushed inflation cartoon physics cuz bro id hella make lifegoal,[],SilvaQular,,,800
81,1452424387727183874,2021-10-25 07:58:53,fed inflation target whenever higher unacceptable,[],RussTaylorPhD,,,800
82,1452424242486779905,2021-10-25 07:58:18,trump ignored covid make things worse downplaying experiencing inflation try facts coronna,[],sashakaralou,,,800
83,1452424225898352652,2021-10-25 07:58:14,noch funktioniert die methode der br llende tiger der sich aber bei genauerer betrachtung als wei  maus entpuppt hervorragend die bauchredner vom diw ihre apokalypsephrasen arbeitspl tzeverlust firmenexodus amp inflation wirken halt immer noch jetzt schluss damit,['diw'],PPMMal,,,800
84,1452424213579452416,2021-10-25 07:58:11,inflation everywhere always monetary phenomenon milton friedman,[],SpectralDiscord,,,800
85,1452424176007106564,2021-10-25 07:58:02,wages stagnate inflation people less spend shops like aldi prosper grow high streets close people increasingly rely food banks sound familiar,[],byboshir,,,800
86,1452424148077010945,2021-10-25 07:57:56,yeah man love hyper inflation,[],Furrett__,,,800
87,1452424084466409473,2021-10-25 07:57:41,anyone else recall thanksgiving dinner conversations bitcoin bull expect year add dynamic inflation exchanges ramp hiring,['bitcoin'],JackOCrypto,,,800
88,1452424031219511298,2021-10-25 07:57:28,covid vax biden strong economy bull shit global respectable hahahahaha stand putin sure looked like approving pl ending afghan war stranding americans lowering taxes leading inflation soon hyperinflation uniting americans ass,[],diegobredLT,,,800
89,1452423978895687681,2021-10-25 07:57:15,inflation made hats valuable throw,[],report_pigeon,,,800
90,1452423970104426496,2021-10-25 07:57:13,topic smart people talking deflation vs inflation thread educated quite bit hopefully bring clarity seeking,[],jurucutu,,,800
91,1452423950051553282,2021-10-25 07:57:09,except talking venezuela ido wrong america living higher inflation expected even close hyperinflation,[],RodolfoHL_EN,,,800
92,1452423906669776898,2021-10-25 07:56:58,tlp march inflation mehghanai personal interests,[],afzallhr,,,800
93,1452423790487502848,2021-10-25 07:56:31,still hoping need anymore stimulus inflation running hot economy strong leave things alone,[],trixareforlibs,,,800
94,1452423781448814602,2021-10-25 07:56:28,inflation border crisis focus gfys,[],andr3th3g1ant,,,800
95,1452423678713602051,2021-10-25 07:56:04,monetary policy causing excess demand causing inflation problems ports started year ago supply chain disruption monetary policy response cause,[],FreeEthan,,,800
96,1452423669758705669,2021-10-25 07:56:02,energy inflation,[],RNR_0,,,800
97,1452423582466727937,2021-10-25 07:55:41,true hedge  grows inflation,[],Revhappy2,,,800
98,1452423568759967754,2021-10-25 07:55:38,inflation already control fed helpless,[],mreinvest,,,800
99,1452423468738232320,2021-10-25 07:55:14,edible oil prices hit record high food inflation treat soars zerohedge jamieoliver foodnetwork wfp foodandwine bflay acfusa,[],silverguru22,,,800
100,1452423426115874820,2021-10-25 07:55:04,actually perfect example cost push inflation joe ripples price everything also causes underlying economy slow hence stagflation,[],FinanceLancelot,,,800
101,1452423409795690497,2021-10-25 07:55:00,bad news inflation shortages stay,[],NorCalCrush,,,800
102,1452423401163919364,2021-10-25 07:54:58,inflation supply chain shortages southern border control net importer oil,[],C_cwhite,,,800
103,1452423355139821569,2021-10-25 07:54:47,imagine economy people money  produces widget  widget  day priced purchases widget day price rises purchases widget inflation precedes increased velocity,[],xcsler,,,800
104,1452423332716945408,2021-10-25 07:54:41,inflation,[],astrobebs,,,800
105,1452423256296747010,2021-10-25 07:54:23,inflate assets tax inflation good plan,[],eshow1969,,,800
106,1452423197962428419,2021-10-25 07:54:09,ff mais avec  inflation donne plus de les salaires  taient pas les mes les consoles taient moins ch res proportionnellement mais par contre fallait tre riche pour acheter des jeux perso mes parents en achetaient par max,[],vincent_tetard,,,800
107,1452423125560279040,2021-10-25 07:53:52,nuts working gender strategies ppl gunned chicago homeless camps overflowing ca border crisis mention inflation supply chain disaster truly pathetic administration years,[],BlockFuzz,,,800
108,1452423088813969412,2021-10-25 07:53:43,lets see iflondexofficial make wealthy enough ignore inflation,[],hollyhubbard_x,,,800
109,1452423083663319044,2021-10-25 07:53:42,taxes equals inflation transitory,[],stock_doctor,,,800
110,1452423065338527747,2021-10-25 07:53:38,inflation well lack goods shelves result manpower left workforce  back get paid stay home,[],jackdonkeyo5,,,800
111,1452423062016643075,2021-10-25 07:53:37,changing behavior due inflation already,[],paranoidbull,,,800
112,1452423051723825155,2021-10-25 07:53:34,gonna hyperinflation anytime soon smartest people admitting current inflation due money printing  one,[],Michko36281380,,,800
113,1452422974661922821,2021-10-25 07:53:16,hyper inflation economic tool totalitarian regime pierrepoilievreleslynlewisalexpiersonamp,[],MonicaFibonacci,,,800
114,1452422932135694337,2021-10-25 07:53:06,beat inflation getting crypto rich starting londex,[],hollyhubbard_x,,,800
