,year,month,text,sentiment,sentiment_comp
0,2021,1,idk bother alcohol inflation time high rn,-0.4215,neg
1,2021,1,inflation much money mean price rise eventually gas gallon,0.0,pos
2,2021,1,exert daily fix talk inflation roll deafen exuberance equity market sin consensus camp see sign real yield rise amp fed tolerate steep curve point usd fomc trading,-0.5574,neg
3,2021,1,regard michellin explain recent price rise inflation aye,0.0,pos
4,2021,1,oh mike since clearly unaware inflation level cheat sheet,-0.2732,neg
5,2021,1,inflation trudeau care finance priority feminist gender gay right abortion progressive leftist political correctness wake climate diversity refugee migrant debt deficit radar,-0.25,neg
6,2021,1,reserve mean anything inflation,0.0,pos
7,2021,1,macri try volker thing embrace full dollarization despite borrow enough usd peronist world mmt er lower rate assertion true argentina inflation fall cut rate,0.2023,pos
8,2021,1,people low skill welfare food stamp raise minimum every state every state need cost living either cause inflation well,0.0,pos
9,2021,1,oh yeah buy eth hedge inflation bitcoin oh yeah eth hedge btc uselessness,0.2023,pos
10,2021,1,hey answer question minimum wage inflation much keep promise easy answer,0.6369,pos
11,2021,1,true taxis govt waste cause inflation everything cost produce,0.0,pos
12,2021,1,fuck boomer update talking point decade municate impossible hur dur solar power petitive inflation luxury apartment cause gentrification,-0.5423,neg
13,2021,1,nein nicht der preis inflation die frage ist falsch es werden ohnehin jede menge nutzlosen kryptow hrungen geschaffen code base opensource bessere frage wird eine neue kryptow hrung vergleichbar bedeutend daf muss beide stimman technologie und das soziale,-0.5994,neg
14,2021,1,like inflation quote sure everything fine,0.6808,pos
15,2021,2,lmao we senator pretend inflation mean parison today,0.5423,pos
16,2021,2,joke matter million people know minimum wage rise year keep pace inflation far get per hour free lunch profit margin control,0.8176,pos
17,2021,2,lumber price go america since april average new home cost build increase fed chair powell say yesterday see inflation tho lol lumber copper aluminum grocery begin,0.6249,pos
18,2021,2,always good sign congresspeople know pretend know inflation,0.3612,pos
19,2021,2,break govt plan exam teacher assess grade base mix coursework mock question exam board check moderation algorithm result th aug anyone appeal major risk grade inflation pressure teacher mass appeal,-0.7501,neg
20,2021,2,inflation,0.0,pos
21,2021,2,oh please asshole know minimum wage keep inflation find odd cook make couple buck hour year later,0.0,pos
22,2021,2,go inflation calculator anything take less week take month,0.0,pos
23,2021,2,idiot john thune never hear inflation,-0.5106,neg
24,2021,2,investor moditie make collective wager government stimulus plus near zero interest rate fuel demand generate inflation amp weaken dollar economy rebound pandemic,-0.0772,neg
25,2021,2,runaway inflation yet,0.0,pos
26,2021,2,siri inflation,0.0,pos
27,2021,2,republicans hear inflation livable wage party claim business market seem understand much economic,0.4019,pos
28,2021,2,disingenuous pablum say issue sure aware something call inflation matter base wants hear,0.34,pos
29,2021,2,wall termine en hausse alors que powell fed rassure sur inflation,0.0,pos
30,2021,2,imagine elect senate seat understand inflation,0.0,pos
31,2021,2,wage keep inflation,0.0,pos
32,2021,2,bet high grade inflation go criticism teacher incentive pupil honest holdout go disadvantage,0.0258,pos
33,2021,2,let think thissenjohnthune tweet bear hr salary adjust inflation fightfor minimumwage,0.0,pos
34,2021,2,okay instead set adjust inflation,0.2263,pos
35,2021,5,joe thirty five biden inflation plan tax inflation enough pay obamacare netflix,-0.1027,neg
36,2021,5,furthermore inflation almost certainly high next year last year see look money supply velocity analysis look key macro factor,0.2748,pos
37,2021,5,lmao keep tell inflation without actually acknowledge origin inflation,0.5994,pos
38,2021,5,go buy gas lumber beef inflation statistic garbage look price normal stuff people use daily,0.0,pos
39,2021,5,think sort pre hyperinflation inflation calm explode year,0.3182,pos
40,2021,5,inflation adjust return rd median family rd median family start journey end nearly enough,0.0,pos
41,2021,5,consumer confidence rise anz anzbank australia australian bank covid future impact inflation market melbourne outbreak unemployment,0.1027,pos
42,2021,5,wonder adjust inflation eddie murphy beat bhc shrek movie make lot raw dollar time grant many mcu movie downey appear forgot cast around time back school,0.3612,pos
43,2021,5,inflation,0.0,pos
44,2021,5,ment clearly demonstrate ignorance topic read white paper understand requirement monetary instrument use currency know deterministic static inflation look like hater,-0.0258,neg
45,2021,5,retiree worry inflation may want consider add investment portfolio bankingandfinancenew covid online banking bank business service finance home money loan lease lending market please retweet,-0.0772,neg
46,2021,5,know elon one stand way stock market inflation inevitable see next bull run start doge get,0.0,pos
47,2021,5,uphold chairman powell think serve people inflation paper tiger fulfill dual mandate,0.4404,pos
48,2021,5,still pay subject insane rate inflation americans good example bag fluid saline iv er visit easily run americans bill cost hospital dollar obtain,0.296,pos
49,2021,5,tech update billionaire investor ray dalio say rather bitcoin bond inflation surge reveal buy cryptocurrency let discuss digitaltransformation digitalstrategy digitalworkplace,0.0,pos
50,2021,5,never self evaluate tip sex harsh environment tough time training soon get road let alone loss age time fly personal failure poverty loneliness traffic inflation,-0.9442,neg
51,2021,5,reason well investment usd rn people want per year supply drive price inflation cause supply doge global currency population growth alone make deflationary,0.4588,pos
52,2021,5,half produce consume real quantity industry support catch guard quick ramp demand supply kinda like toilet paper begin pandemic inflation happen,0.5279,pos
53,2021,5,episode lumber housing car one thing mon rise price today bring episode inflation,0.0,pos
54,2021,5,israel palestinian conflict inflation southern border belarus force jet oh nice gatorade,0.128,pos
